disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
GO:0060090,1398,0.3231173738465544,0.077,377,0.08695652173913043,0.221
GO:0060090,51068,0.06308615133377056,0.792,58,0.010869565217391304,0.477
GO:0060090,10111,0.13794816944838195,0.452,119,0.0,1.0
GO:0060090,10133,0.12616210366764846,0.406,99,0.010869565217391304,0.676
GO:0060090,409,0.2609322511069171,0.219,366,0.021739130434782608,0.836
GO:0060090,10142,0.12412117582584321,0.409,103,0.0,1.0
GO:0060090,27040,0.18082192952579867,0.033,58,0.010869565217391304,0.508
GO:0060090,10657,0.25104882937830497,0.032,191,0.05434782608695652,0.086
GO:0060090,389541,0.23628936785521787,0.004,13,0.03260869565217391,0.007
GO:0060090,940,0.12142073836491893,0.028,22,0.0,1.0
GO:0060090,151987,0.04041367686078376,0.889,39,0.0,1.0
GO:0060090,23479,0.04521309475993977,0.601,23,0.010869565217391304,0.188
GO:0060090,51127,0.10300311696566468,0.027,20,0.0,1.0
GO:0060090,9659,0.10503708184197832,0.621,102,0.010869565217391304,0.7
GO:0060090,54726,0.07323968121533844,0.639,50,0.010869565217391304,0.415
GO:0060090,8649,0.17661704149120847,0.108,85,0.05434782608695652,0.019
GO:0060090,6602,0.14730819157307123,0.48,205,0.0,1.0
GO:0060090,11214,0.11079277655537156,0.099,40,0.0,1.0
GO:0060090,23019,0.08797909843724792,0.717,87,0.0,1.0
GO:0060090,3054,0.15647240155441194,0.272,121,0.021739130434782608,0.453
GO:0060090,23542,0.144389340784362,0.301,94,0.021739130434782608,0.335
GO:0060090,55294,0.15661917688561985,0.396,182,0.021739130434782608,0.493
GO:0019003,201475,0.1769556408195005,0.005,4,0.0,1.0
GO:0019003,51209,0.21290776837538936,0.002,10,0.0,1.0
GO:0019003,5898,0.23812590021527133,0.012,88,0.0851063829787234,0.023
GO:0019003,5899,0.15541830882913707,0.004,25,0.0,1.0
GO:0019003,10890,0.26564511752578907,0.009,54,0.06382978723404255,0.029
GO:0019003,5901,0.06633977935553122,0.222,253,0.0,1.0
GO:0019003,9230,0.325654059450709,0.007,83,0.1276595744680851,0.017
GO:0019003,11021,0.16789726159812246,0.004,34,0.0,1.0
GO:0019003,403,0.05027599223706744,0.052,14,0.0,1.0
GO:0019003,5908,0.2294097770358235,0.023,81,0.1276595744680851,0.023
GO:0019003,9364,0.019900801970508752,0.073,1,0.0,1.0
GO:0019003,22931,0.14564423451307038,0.007,21,0.0,1.0
GO:0019003,9367,0.15796238566465845,0.009,19,0.02127659574468085,0.064
GO:0019003,11031,0.40092040900170794,0.003,31,0.06382978723404255,0.018
GO:0019003,5911,0.192533596843503,0.005,52,0.02127659574468085,0.17
GO:0019003,5912,0.14996712068326917,0.002,14,0.02127659574468085,0.033
GO:0019003,6009,0.1969284163106796,0.006,39,0.06382978723404255,0.008
GO:0019003,64284,0.3068942620263318,0.005,17,0.02127659574468085,0.047
GO:0019003,58528,0.17937861583701076,0.005,11,0.02127659574468085,0.036
GO:0019003,55207,0.12044709186948448,0.011,21,0.0425531914893617,0.012
GO:0019003,51762,0.2396326032073617,0.01,32,0.10638297872340426,0.007
GO:0019003,57403,0.32403761367580475,0.005,16,0.06382978723404255,0.006
GO:0019003,3265,0.2094713581644799,0.004,113,0.0425531914893617,0.069
GO:0019003,7879,0.34637547444736844,0.002,182,0.2978723404255319,0.002
GO:0019003,51143,0.038864885552765065,0.319,47,0.02127659574468085,0.165
GO:0019003,2633,0.02742632294394511,0.243,14,0.0,1.0
GO:0019003,6729,0.007014578618564314,0.937,30,0.0,1.0
GO:0019003,54471,0.018850638313503885,0.519,20,0.0,1.0
GO:0019003,158158,0.0,1.0,1,0.0,1.0
GO:0019003,2773,0.06144203257587308,0.219,114,0.02127659574468085,0.28
GO:0019003,6237,0.1245852560174136,0.006,36,0.0,1.0
GO:0019003,4831,0.04953486186823516,0.375,129,0.02127659574468085,0.268
GO:0019003,51552,0.2918206276564093,0.005,55,0.0,1.0
GO:0019003,57826,0.13405385056269936,0.01,10,0.0,1.0
GO:0019003,23011,0.11553051685211713,0.008,11,0.0,1.0
GO:0019003,5862,0.245868390442183,0.004,114,0.10638297872340426,0.004
GO:0019003,8934,0.03332177416797322,0.125,7,0.0,1.0
GO:0019003,5865,0.27375588141470397,0.001,20,0.0,1.0
GO:0019003,5867,0.3120817557859269,0.005,51,0.06382978723404255,0.025
GO:0019003,5868,0.45200985023924295,0.006,122,0.23404255319148937,0.006
GO:0019003,2669,0.040135318231324366,0.479,113,0.02127659574468085,0.266
GO:0019003,5869,0.35749915828119216,0.008,59,0.10638297872340426,0.015
GO:0019003,5873,0.3072073068823804,0.004,32,0.0,1.0
GO:0019003,5874,0.21279563134557683,0.003,11,0.0,1.0
GO:0019003,373,0.03456506190492619,0.908,265,0.02127659574468085,0.396
GO:0019003,5878,0.33977395919305936,0.009,151,0.1702127659574468,0.003
GO:0019003,64121,0.1746084519211081,0.003,26,0.02127659574468085,0.096
GO:0019003,4218,0.38292994908566785,0.003,62,0.1702127659574468,0.008
GO:0008188,4923,0.0,1.0,4,0.0,1.0
GO:0008188,8484,0.0,1.0,1,0.0,1.0
GO:0008188,56923,0.1257903708846454,0.009,7,0.0,1.0
GO:0008188,4935,0.0054730676230799165,0.078,3,0.0,1.0
GO:0008188,51083,0.48479709933774373,0.001,11,0.18181818181818182,0.001
GO:0008188,8811,0.3285680487215496,0.0,2,0.09090909090909091,0.0
GO:0008188,10316,0.1257903708846454,0.003,5,0.0,1.0
GO:0008188,6869,0.006537204504606134,0.073,5,0.0,1.0
GO:0008188,84634,0.0,1.0,4,0.0,1.0
GO:0008188,2587,0.4024120325748595,0.0,1,0.09090909090909091,0.0
GO:0008188,4988,0.012010272127686052,0.01,77,0.0,1.0
GO:0008188,6751,0.0,1.0,5,0.0,1.0
GO:0016627,3712,0.029795135114564903,0.054,14,0.0,1.0
GO:0016627,1666,0.04086671115895101,0.045,31,0.0,1.0
GO:0016627,644,0.037717901535233925,0.058,22,0.0,1.0
GO:0016627,645,0.02086373799045874,0.094,11,0.0,1.0
GO:0016627,54920,0.00265349089050678,0.385,4,0.0,1.0
GO:0016627,1806,0.005884389414473131,0.498,15,0.0,1.0
GO:0016627,55825,0.03365827969747599,0.026,6,0.0,1.0
GO:0016627,79644,0.0,1.0,2,0.0,1.0
GO:0016627,51102,0.007048548430432511,0.45,16,0.0,1.0
GO:0016627,30,0.3799746329828456,0.002,54,0.16666666666666666,0.002
GO:0016627,84129,0.41861621724776055,0.003,53,0.16666666666666666,0.009
GO:0016627,34,0.3994373467495137,0.001,88,0.2,0.001
GO:0016627,35,0.4529614154075111,0.003,38,0.16666666666666666,0.003
GO:0016627,37,0.040509229721899895,0.039,32,0.0,1.0
GO:0016627,28976,0.400404793337237,0.01,64,0.16666666666666666,0.013
GO:0016627,51,0.38146334126485,0.001,51,0.16666666666666666,0.004
GO:0016627,9524,0.04864450087285254,0.032,61,0.03333333333333333,0.038
GO:0016627,1717,0.024574068080739035,0.236,114,0.0,1.0
GO:0016627,1718,0.018507714344769142,0.154,20,0.0,1.0
GO:0016627,6715,0.23647691364503337,0.011,22,0.0,1.0
GO:0016627,6716,0.24062367608930713,0.009,21,0.0,1.0
GO:0016627,7108,0.15932835081821078,0.002,13,0.0,1.0
GO:0016627,8644,0.2681712599280726,0.001,11,0.06666666666666667,0.001
GO:0016627,145482,0.006291141204190509,0.476,15,0.0,1.0
GO:0016627,26063,0.02333028128961123,0.074,14,0.0,1.0
GO:0016627,3930,0.017004663187687938,0.286,48,0.0,1.0
GO:0016627,1645,0.2915065547144565,0.001,9,0.06666666666666667,0.001
GO:0016627,1646,0.2669270237654191,0.007,14,0.06666666666666667,0.009
GO:0016627,6389,0.07462812872144213,0.018,94,0.0,1.0
GO:0016627,6392,0.049752621845863806,0.01,8,0.0,1.0
GO:0016627,5498,0.01985500164441694,0.147,15,0.0,1.0
GO:1901618,6531,0.035195459377277125,0.025,18,0.0,1.0
GO:1901618,84068,0.0,1.0,1,0.0,1.0
GO:1901618,6532,0.02482261125392414,0.021,8,0.0,1.0
GO:1901618,358,0.0027368869663786308,0.368,107,0.0,1.0
GO:1901618,359,0.015408338784034144,0.04,9,0.0,1.0
GO:1901618,360,0.01921407099372285,0.019,6,0.0,1.0
GO:1901618,9194,0.013608276348795438,0.045,2,0.0,1.0
GO:1901618,366,0.0,1.0,4,0.0,1.0
GO:1901618,89872,0.015408338784034144,0.038,2,0.0,1.0
GO:1901618,9619,0.0030935003307632587,0.149,8,0.0,1.0
GO:1901618,64220,0.0,1.0,5,0.0,1.0
GO:0005112,22848,0.017064938636970336,0.102,22,0.0,1.0
GO:0005112,3714,0.06782941550312335,0.007,12,0.0,1.0
GO:0005112,28514,0.14198754143871073,0.003,17,0.06666666666666667,0.06
GO:0005112,8452,0.03388477988017015,0.268,1228,0.13333333333333333,0.072
GO:0005112,388677,0.018913027489786682,0.98,371,0.0,1.0
GO:0005112,9612,0.022969986469767823,0.312,136,0.06666666666666667,0.392
GO:0005112,63917,0.001958953493214613,0.811,11,0.0,1.0
GO:0005112,55662,0.013905151934976243,0.364,46,0.0,1.0
GO:0005112,1840,0.039367748428647,0.003,29,0.0,1.0
GO:0005112,84466,0.011050049939169384,0.275,25,0.0,1.0
GO:0005112,6868,0.01697933119136302,0.131,28,0.0,1.0
GO:0005112,83892,0.020763720887050335,0.078,41,0.06666666666666667,0.154
GO:0005112,182,0.12136713276987672,0.004,12,0.0,1.0
GO:0005112,4856,0.059646175912817005,0.004,35,0.06666666666666667,0.143
GO:0005112,22938,0.039993279442757886,0.081,291,0.13333333333333333,0.06
GO:0005112,56892,0.002880638121878584,0.263,1,0.0,1.0
GO:0015101,6583,0.08118231300804193,0.004,4,0.0,1.0
GO:0015101,60482,0.0,1.0,2,0.0,1.0
GO:0015101,23428,0.0,1.0,6,0.0,1.0
GO:0015101,85413,0.0,1.0,1,0.0,1.0
GO:0015101,10478,0.0,1.0,20,0.0,1.0
GO:0015101,788,0.011316968255314816,0.059,15,0.0,1.0
GO:0015101,6581,0.0,1.0,2,0.0,1.0
GO:0015101,6582,0.0,1.0,9,0.0,1.0
GO:0015101,284439,0.02291149068259177,0.017,7,0.0,1.0
GO:0015101,6584,0.0927768354353189,0.003,11,0.0,1.0
GO:0140101,54913,0.6885846553647971,0.001,33,0.14285714285714285,0.001
GO:0140101,57604,0.0,1.0,4,0.0,1.0
GO:0140101,92935,0.031458581822339696,0.135,7,0.0,1.0
GO:0140101,10248,0.7657856675699362,0.002,31,0.14285714285714285,0.002
GO:0140101,54920,0.05088902901594478,0.015,4,0.015873015873015872,0.01
GO:0140101,2058,0.3002194474062284,0.003,247,0.14285714285714285,0.003
GO:0140101,4234,0.09772685070676085,0.036,37,0.031746031746031744,0.008
GO:0140101,8846,0.0,1.0,1,0.0,1.0
GO:0140101,23438,0.14815664570712894,0.004,19,0.047619047619047616,0.004
GO:0140101,16,0.25950048164161627,0.006,55,0.12698412698412698,0.003
GO:0140101,2193,0.10100266299360916,0.046,40,0.015873015873015872,0.099
GO:0140101,54802,0.018562857008611648,0.348,6,0.0,1.0
GO:0140101,54931,0.11583023858459918,0.02,38,0.015873015873015872,0.12
GO:0140101,93587,0.027147331058656122,0.375,14,0.0,1.0
GO:0140101,221078,0.013887748436814965,0.268,3,0.0,1.0
GO:0140101,10775,0.8563798466016452,0.001,25,0.14285714285714285,0.001
GO:0140101,3735,0.2836016231647837,0.002,149,0.1746031746031746,0.002
GO:0140101,79897,1.0705056928712255,0.006,9,0.14285714285714285,0.006
GO:0140101,158234,0.032610776863015854,0.433,33,0.0,1.0
GO:0140101,91801,0.029758709959471184,0.08,3,0.0,1.0
GO:0140101,6301,0.1577328415542313,0.011,67,0.07936507936507936,0.012
GO:0140101,7453,0.13333602719325602,0.045,66,0.031746031746031744,0.04
GO:0140101,5917,0.31138821554398766,0.004,62,0.1111111111111111,0.007
GO:0140101,1787,0.027369610055493626,0.474,30,0.0,1.0
GO:0140101,10785,0.09374931033731793,0.062,42,0.031746031746031744,0.04
GO:0140101,57505,0.13030912893844546,0.002,18,0.0,1.0
GO:0140101,124454,0.061580321624450644,0.003,2,0.0,1.0
GO:0140101,51367,0.8410937365245224,0.001,22,0.14285714285714285,0.001
GO:0140101,10667,0.060280094369429396,0.295,75,0.015873015873015872,0.219
GO:0140101,4141,0.3045320046915169,0.012,84,0.12698412698412698,0.012
GO:0140101,10799,0.934207130134387,0.005,14,0.14285714285714285,0.005
GO:0140101,3376,0.3696403767252762,0.005,109,0.15873015873015872,0.005
GO:0140101,2617,0.2792345304330608,0.005,99,0.14285714285714285,0.005
GO:0140101,10556,0.7135887086828129,0.004,30,0.14285714285714285,0.008
GO:0140101,10557,0.5673726065524477,0.002,51,0.14285714285714285,0.002
GO:0140101,10940,0.5571468904643924,0.002,78,0.14285714285714285,0.002
GO:0140101,51520,0.3551361143135731,0.008,74,0.15873015873015872,0.008
GO:0140101,833,0.15416870880606795,0.018,42,0.047619047619047616,0.005
GO:0140101,283459,0.1661888076863609,0.001,10,0.031746031746031744,0.002
GO:0140101,3396,0.13445674974349175,0.265,246,0.07936507936507936,0.014
GO:0140101,5188,0.0,1.0,2,0.0,1.0
GO:0140101,51651,0.016399833027911204,0.706,26,0.0,1.0
GO:0140101,55621,0.16517138716893978,0.008,33,0.07936507936507936,0.008
GO:0140101,10056,0.12985437158563204,0.072,104,0.047619047619047616,0.031
GO:0140101,60487,0.018752742595566814,0.325,7,0.0,1.0
GO:0140101,51531,0.013403783577799866,0.353,4,0.0,1.0
GO:0140101,24140,0.09895172280239324,0.197,107,0.015873015873015872,0.354
GO:0140101,9692,0.07407207382554719,0.017,11,0.015873015873015872,0.025
GO:0140101,79068,0.008562449824093533,0.801,15,0.0,1.0
GO:0140101,11102,0.7579694140484531,0.006,28,0.14285714285714285,0.006
GO:0140101,55006,0.03742363848337153,0.164,13,0.0,1.0
GO:0140101,80222,0.0936873008626228,0.013,20,0.015873015873015872,0.055
