entrez_id	essentiality	data_source
488	Essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125,PMID:26627737
2642	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
54518	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
58480	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
51250	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
55278	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
23224	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
7073	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
10497	Non-essential	PMID:26472758,PMID:26472760,PMID:22585861,PMID:18239125
64063	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
51429	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
84698	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5976	Essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125,PMID:26627737
8216	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
389273	Non-essential	PMID:18239125
219681	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
4094	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
6387	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
23657	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
22841	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
25819	Non-essential	PMID:26472760,PMID:18239125
9342	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
151	Non-essential	PMID:26472758
1399	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
3269	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
91937	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10627	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
343173	Non-essential	PMID:26472760,PMID:18239125
285704	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8736	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
653247	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
345757	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
5529	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10333	Non-essential	PMID:26472758,PMID:18239125
9375	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
29883	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
26052	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
6782	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
192683	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
347344	Non-essential	PMID:26472758,PMID:18239125
401138	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
344752	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
122773	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
151242	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10273	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
79892	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
2169	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
283420	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
284069	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
286343	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10969	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
391191	Non-essential	PMID:26472760,PMID:18239125
