disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
DB00277,8904,0.006975251447972373,0.575,54,0.0,1.0
DB00277,8654,0.32082827375477174,0.0,27,0.0,1.0
DB00277,142,0.025039369053530606,0.091,286,0.07692307692307693,0.158
DB00277,5139,0.25679986453287,0.005,51,0.0,1.0
DB00277,5141,0.3048477655690478,0.003,32,0.0,1.0
DB00277,5142,0.30164879727275573,0.006,35,0.0,1.0
DB00277,79608,0.0028972460435181084,0.758,35,0.0,1.0
DB00277,3066,0.021206196987995682,0.323,387,0.07692307692307693,0.308
DB00277,23420,0.003233177936185932,0.591,23,0.0,1.0
DB00277,26140,0.0,1.0,16,0.0,1.0
DB00277,81502,0.0,1.0,23,0.0,1.0
DB04464,8192,0.02668517906548588,0.052,18,0.043478260869565216,0.078
DB04464,6285,0.011131571231956294,0.438,41,0.0,1.0
DB04464,6035,0.0005383456234667996,0.715,5,0.0,1.0
DB04464,7316,0.04217224608030312,0.156,1647,0.043478260869565216,0.25
DB04464,795,0.004973585797187662,0.26,1,0.0,1.0
DB04464,4512,0.6158929182431642,0.004,44,0.17391304347826086,0.004
DB04464,4513,0.5662059299570273,0.001,69,0.30434782608695654,0.006
DB04464,4514,0.7880388523798519,0.002,25,0.17391304347826086,0.002
DB04464,9377,0.5495838513671923,0.005,66,0.2608695652173913,0.005
DB04464,3106,0.09898240503752956,0.006,333,0.13043478260869565,0.022
DB04464,1327,0.5528385851660534,0.001,67,0.17391304347826086,0.007
DB04464,1329,0.5034821143218644,0.012,70,0.13043478260869565,0.019
DB04464,4535,0.3077993100399812,0.016,83,0.043478260869565216,0.242
DB04464,567,0.039927181860333096,0.047,36,0.043478260869565216,0.085
DB04464,1339,0.7427141324300828,0.003,20,0.0,1.0
DB04464,1340,0.6283248922863154,0.002,38,0.043478260869565216,0.087
DB04464,1345,0.6949459333514868,0.001,27,0.0,1.0
DB04464,1346,0.8379043054787709,0.006,15,0.0,1.0
DB04464,1349,0.7778680752809698,0.008,18,0.0,1.0
DB04464,1350,0.8156948204080879,0.0,16,0.0,1.0
DB04464,1351,0.7427757075457421,0.003,20,0.0,1.0
DB04464,462,0.003478936560462125,0.686,17,0.0,1.0
DB04464,5875,0.0449625793238876,0.021,15,0.043478260869565216,0.024
DB04464,5876,0.0415610984161312,0.071,67,0.043478260869565216,0.221
DB02010,6850,0.15009297977043265,0.003,140,0.16666666666666666,0.11
DB02010,1445,0.1345140818537813,0.009,87,0.25,0.021
DB02010,1128,0.0017649452960153285,0.658,5,0.0,1.0
DB02010,5292,0.03964424933186456,0.022,55,0.0,1.0
DB02010,9261,0.0336310726311699,0.086,70,0.0,1.0
DB02010,5294,0.03966426534357321,0.031,39,0.08333333333333333,0.074
DB02010,7535,0.16772202678164708,0.006,71,0.16666666666666666,0.04
DB02010,5170,0.08768701065007992,0.009,108,0.16666666666666666,0.059
DB02010,2932,0.05835703751806918,0.194,362,0.0,1.0
DB02010,5588,0.07274158051511258,0.038,138,0.16666666666666666,0.073
DB02010,3702,0.09098958974820917,0.004,46,0.08333333333333333,0.12
DB02010,1017,0.05036380181626708,0.224,892,0.0,1.0
DB02010,3932,0.1927662015145118,0.003,256,0.4166666666666667,0.01
DB00075,2209,0.22576087369430103,0.004,17,0.07142857142857142,0.02
DB00075,2212,0.14347356703167327,0.004,36,0.14285714285714285,0.004
DB00075,2213,0.18140096834585678,0.002,24,0.07142857142857142,0.006
DB00075,2214,0.2325711132292859,0.002,19,0.21428571428571427,0.002
DB00075,2215,0.11654856452341256,0.008,20,0.07142857142857142,0.008
DB00075,712,0.36795560447679154,0.003,30,0.2857142857142857,0.003
DB00075,713,0.28670316516691796,0.005,23,0.21428571428571427,0.005
DB00075,714,0.24111024049194732,0.003,10,0.14285714285714285,0.003
DB00075,715,0.39513663545121275,0.002,13,0.21428571428571427,0.002
DB00075,716,0.36678305376058457,0.003,10,0.14285714285714285,0.003
DB00075,9103,0.14526440220038206,0.002,12,0.07142857142857142,0.003
DB00075,915,0.12594118594896023,0.004,17,0.21428571428571427,0.001
DB00075,916,0.1719347227140935,0.003,38,0.21428571428571427,0.004
DB00075,917,0.10910848691798194,0.017,15,0.14285714285714285,0.017
DB00075,919,0.20004610773857304,0.005,47,0.21428571428571427,0.005
DB00139,8974,0.057448977939439774,0.023,23,0.0,1.0
DB00139,8985,0.04813765556663253,0.035,45,0.0,1.0
DB00139,5019,0.4047285722657142,0.004,82,0.3333333333333333,0.004
DB00139,10536,0.0025700912131277048,0.656,15,0.0,1.0
DB00139,5033,0.05533161274687838,0.033,41,0.0,1.0
DB00139,55214,0.013206263457132357,0.135,9,0.0,1.0
DB00139,64175,0.059997858914991084,0.036,73,0.0,1.0
DB00139,55217,0.0,1.0,8,0.0,1.0
DB00139,8630,0.0,1.0,11,0.0,1.0
DB00139,1468,0.01860925836609008,0.226,53,0.0,1.0
DB00139,444,0.01221619060326286,0.349,43,0.0,1.0
DB00139,64064,0.5743841715516453,0.004,32,0.3333333333333333,0.004
DB00139,64849,0.0,1.0,1,0.0,1.0
DB00139,56670,0.02924724446810785,0.002,1,0.0,1.0
