disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
GO:0006333,8353,0.9396601307965734,0.002,240,0.4423076923076923,0.018
GO:0006333,546,0.28002353293371846,0.039,58,0.09615384615384616,0.036
GO:0006333,8354,1.4615198389964312,0.001,65,0.4230769230769231,0.021
GO:0006333,8355,1.4592623421177944,0.003,66,0.4230769230769231,0.019
GO:0006333,8356,1.3990853080885541,0.002,78,0.4230769230769231,0.019
GO:0006333,8357,1.4427829028022592,0.004,67,0.4230769230769231,0.021
GO:0006333,8358,1.4287005893681144,0.003,76,0.4423076923076923,0.012
GO:0006333,10664,0.14479693125425236,0.069,53,0.0,1.0
GO:0006333,5928,0.7839648456455853,0.01,261,0.5192307692307693,0.006
GO:0006333,8359,1.1272069656626242,0.004,181,0.3269230769230769,0.008
GO:0006333,26155,0.14707063485156022,0.082,72,0.038461538461538464,0.065
GO:0006333,8360,1.416957676798092,0.005,56,0.23076923076923078,0.035
GO:0006333,8361,1.4759049518482488,0.002,104,0.40384615384615385,0.004
GO:0006333,8362,1.476148044938552,0.008,56,0.25,0.014
GO:0006333,8363,1.3994700667153166,0.007,58,0.25,0.023
GO:0006333,8364,1.4089537456716337,0.003,55,0.23076923076923078,0.022
GO:0006333,8365,1.383342262247801,0.004,59,0.23076923076923078,0.025
GO:0006333,8366,1.4117418285470757,0.002,55,0.23076923076923078,0.022
GO:0006333,8367,1.4334104253701803,0.004,61,0.25,0.014
GO:0006333,8368,1.465855878079089,0.001,57,0.25,0.006
GO:0006333,8370,1.3214522982677614,0.011,84,0.28846153846153844,0.016
GO:0006333,10036,0.7876314492213233,0.002,120,0.4423076923076923,0.002
GO:0006333,55355,0.5696374565522326,0.005,36,0.28846153846153844,0.005
GO:0006333,51773,0.21485349640230791,0.041,59,0.038461538461538464,0.099
GO:0006333,29855,0.4082741736595468,0.002,12,0.09615384615384616,0.002
GO:0006333,4678,0.8320039190008045,0.011,82,0.4423076923076923,0.007
GO:0006333,57798,0.11260443707005464,0.037,22,0.0,1.0
GO:0006333,8520,0.9153624563891245,0.016,62,0.4423076923076923,0.002
GO:0006333,554313,1.3853388061973677,0.013,57,0.23076923076923078,0.031
GO:0006333,201161,0.05736365597071867,0.103,17,0.0,1.0
GO:0006333,3020,0.7050457098247922,0.008,131,0.3076923076923077,0.011
GO:0006333,3021,0.5720692263704403,0.0,39,0.15384615384615385,0.0
GO:0006333,3159,0.13773933572004554,0.16,105,0.019230769230769232,0.351
GO:0006333,54623,0.15774208431521047,0.063,58,0.038461538461538464,0.113
GO:0006333,79711,0.6160988214506498,0.013,121,0.40384615384615385,0.009
GO:0006333,23523,0.36223101937073665,0.002,27,0.09615384615384616,0.002
GO:0006333,8294,1.4189893646511875,0.022,63,0.25,0.037
GO:0006333,79723,0.1625141073949248,0.104,66,0.0,1.0
GO:0006333,22893,0.0930902879345348,0.109,49,0.0,1.0
GO:0006333,55723,0.9081452497910795,0.033,65,0.4423076923076923,0.004
GO:0006333,25842,1.060791238760843,0.026,68,0.6153846153846154,0.006
GO:0006333,7157,0.34483348543021475,0.039,1001,0.1346153846153846,0.142
GO:0006333,121504,1.292523387444621,0.004,149,0.46153846153846156,0.004
GO:0006333,7290,0.7274348504426469,0.006,40,0.3076923076923077,0.006
GO:0035567,1856,0.10270837087671258,0.001,141,0.2727272727272727,0.001
