disease,protein,degree,frac_direct_interactions,frac_direct_interactions_pvalue,common_interactor_score,common_interactor_score_pvalue
C0013182,10,1,0.0,1.0,0.0,1.0
C0013182,57105,3,0.0,1.0,0.013201097168990759,0.068
C0013182,2205,1,0.0,1.0,0.0,1.0
C0013182,2206,1,0.0,1.0,0.0,1.0
C0013182,2207,75,0.0,1.0,0.011391405311651094,0.549
C0013182,4295,2,0.0,1.0,0.0,1.0
C0013182,7124,30,0.0,1.0,0.0074973989036981985,0.575
C0013182,4056,9,0.0,1.0,0.012156635288216821,0.225
C0013182,356,14,0.0,1.0,0.024972098792056155,0.121
C0013182,3303,2,0.0,1.0,0.03573708449459317,0.02
C0013182,3305,2,0.0,1.0,0.03573708449459317,0.029
C0018824,5777,1,0.0,1.0,0.0,1.0
C0018824,3606,1,0.0,1.0,0.0,1.0
C0018824,2720,4,0.0,1.0,0.0,1.0
C0018824,2209,20,0.0,1.0,0.005237396965048332,0.498
C0018824,6696,7,0.0,1.0,0.02868579387116088,0.079
C0018824,51626,1,0.0,1.0,0.0,1.0
C0018824,7468,2,0.0,1.0,0.0,1.0
C0018824,7469,9,0.0,1.0,0.01345089358536055,0.196
C0018824,29108,4,0.0,1.0,0.0,1.0
C0018824,836,1,0.0,1.0,0.0,1.0
C0018824,6347,3,0.0,1.0,0.0,1.0
C0018824,3934,61,0.0,1.0,0.03622009924227332,0.042
C0018824,3689,13,0.0,1.0,0.005237396965048332,0.32
C0018824,9450,1,0.0,1.0,0.0,1.0
C0018824,3954,3,0.0,1.0,0.0,1.0
C0018824,632,1,0.0,1.0,0.011144179967299826,0.105
C0018824,1277,1,0.0,1.0,0.0,1.0
C0018824,1278,8,0.0,1.0,0.044048305047492284,0.036
C0917798,3984,2,0.0,1.0,0.0,1.0
C0917798,2969,6,0.0,1.0,0.0,1.0
