Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB01388,DB01388,0.45,0.05,0.7662187877100157,0.012210427530289348,4953.272727272727,2085.181818181818
DB10770,DB10770,0.4,0.1,0.9513297131718185,0.01982344412676908,972.6363636363636,2894.5454545454545
DB00144,DB00144,0.3,0.1,0.7757274794634984,0.017418980862463598,4833.4,8241.4
DB00163,DB00163,0.0,0.0,0.8666542911948518,0.003756844878044081,2874.3333333333335,4756.666666666667
DB01050,DB01050,0.3,0.1,0.8867034854040006,0.013639636988361088,2442.2,2964.2
DB00170,DB00170,0.7,0.55,0.9742225213516523,0.22448560884357338,819.0769230769231,4204.7692307692305
DB00126,DB00126,0.0,0.0,0.6979474319680505,0.0008530916126980356,6343.521739130435,10259.04347826087
DB12965,DB12965,0.25,0.05,0.8005744858641661,0.005723385724033371,4385.0625,3567.625
DB00674,DB00674,0.75,0.65,0.8936678891416369,0.18654222083253516,1855.1875,1591.3125
DB00160,DB00160,0.0,0.0,0.6642684738210175,0.0008621270985765579,7076.7692307692305,8828.0
DB11638,DB11638,0.19285714285714284,0.07678571428571428,0.9619638450845676,0.01668390014490852,824.2051282051282,4365.7307692307695
DB06148,DB06148,0.13333333333333333,0.0,0.9028617535060833,0.0053716869709707505,2008.9130434782608,2471.2608695652175
DB08818,DB08818,0.3,0.1,0.8765908563471804,0.011493136061135077,3060.5,4032.5
DB09061,DB09061,0.15,0.03333333333333333,0.7269180754226267,0.007379768778891229,6169.4,4831.52
DB00381,DB00381,0.3,0.1,0.6434812888847617,0.010789207079948578,6967.368421052632,2684.0
DB04946,DB04946,0.0,0.0,0.9370347164206814,0.0029441496288908553,1618.909090909091,1550.2727272727273
DB00675,DB00675,0.2,0.1,0.9571979016758739,0.0104698285133672,864.375,3535.8125
DB01169,DB01169,0.5,0.1,0.9713695642084744,0.020591445099723125,617.9,2512.8
DB00162,DB00162,0.4,0.35,0.8601664422675146,0.142221360688135,2720.722222222222,7650.888888888889
DB00543,DB00543,0.36,0.19,0.9238161747617941,0.04510537351999636,1699.095238095238,2382.4285714285716
DB01708,DB01708,0.41666666666666663,0.35,0.9160399052308834,0.09742371138946557,1792.7096774193549,4107.870967741936
DB00289,DB00289,0.6,0.3,0.8816137566137566,0.11410948654426174,2817.909090909091,6010.727272727273
DB00132,DB00132,0.5,0.3,0.9059265791061402,0.0801612128178137,2028.0,4670.8
DB00013,DB00013,1.0,0.5,0.9984499002181277,0.18449794154324467,34.4,3610.0
DB00795,DB00795,0.3,0.3,0.7911356569360004,0.12105272843994222,4501.4,3426.6
DB04141,DB04141,0.9,0.3,0.9194851917185034,0.04016723290878924,1172.9333333333334,4853.866666666667
DB00031,DB00031,0.35,0.1,0.98373479996287,0.029955010776736003,355.54545454545456,2532.2727272727275
DB00393,DB00393,0.4,0.1,0.841012669977259,0.040066043559499824,3426.7,758.0
DB01023,DB01023,0.2,0.05,0.8905054771630153,0.00689868286601589,2527.230769230769,2778.846153846154
DB08896,DB08896,0.15,0.05,0.9592854821486607,0.009454073785255443,928.0,2581.0
DB00418,DB00418,0.8,0.6,0.9853070888073905,0.12237149126190472,396.0,4079.75
DB00898,DB00898,0.475,0.305,0.849510018130259,0.06525497995445127,3333.282608695652,3148.891304347826
DB01752,DB01752,0.2,0.1,0.9057644110275691,0.012246075749656082,2001.7272727272727,7730.363636363636
DB00142,DB00142,0.13333333333333333,0.04285714285714286,0.8010073345299032,0.007732366467195872,4125.6567164179105,5361.059701492537
DB01812,DB01812,0.7,0.5,0.817937531906994,0.06079763731603731,3923.9,5540.9
DB00151,DB00151,0.55,0.3,0.8886836242109171,0.036399211603720685,2941.846153846154,5254.2307692307695
