HGNC ID	NCBI gene ID	Ensembl gene ID
HGNC:227	105	ENSG00000185736
HGNC:23299	642394	ENSG00000205696
HGNC:228	23536	ENSG00000065457
HGNC:21172	134637	ENSG00000189007
HGNC:25151	113179	ENSG00000213638
HGNC:19038	57143	ENSG00000063761
HGNC:19039	90956	ENSG00000133597
HGNC:21738	203054	ENSG00000173137
HGNC:232	107	ENSG00000164742
HGNC:233	108	ENSG00000078295
HGNC:234	109	ENSG00000138031
HGNC:235	196883	ENSG00000129467
HGNC:236	111	ENSG00000173175
HGNC:237	112	ENSG00000174233
HGNC:53332	100506125	ENSG00000257660
HGNC:238	113	ENSG00000121281
HGNC:239	114	ENSG00000155897
HGNC:240	115	ENSG00000162104
HGNC:21285	55811	ENSG00000143199
HGNC:44143	221442	ENSG00000161912
HGNC:241	116	ENSG00000141433
HGNC:242	117	ENSG00000078549
HGNC:243	118	ENSG00000087274
HGNC:244	119	ENSG00000075340
HGNC:245	120	ENSG00000148700
HGNC:48682	100505933	ENSG00000203876
HGNC:21212	79747	ENSG00000118492
HGNC:13838	84435	ENSG00000197177
HGNC:49543	100128127	ENSG00000256925
HGNC:17849	25960	ENSG00000020181
HGNC:13839	166647	ENSG00000152990
HGNC:943	575	ENSG00000181790
HGNC:944	576	ENSG00000121753
HGNC:945	577	ENSG00000135298
HGNC:19893	283383	ENSG00000111452
HGNC:53314	105755954	ENSG00000256151
HGNC:18651	347088	ENSG00000180264
HGNC:3336	2015	ENSG00000174837
HGNC:3337	30817	ENSG00000127507
HGNC:23647	84658	ENSG00000131355
HGNC:19240	326342	ENSG00000268758
HGNC:1711	976	ENSG00000123146
HGNC:18990	266977	ENSG00000153292
HGNC:18991	222611	ENSG00000164393
HGNC:18989	165082	ENSG00000173567
HGNC:19011	221393	ENSG00000153294
HGNC:19030	221395	ENSG00000069122
HGNC:40864	101926962	ENSG00000225730
HGNC:32922	389740	ENSG00000227582
HGNC:32921	441416	ENSG00000204818
HGNC:4512	9289	ENSG00000205336
HGNC:4516	10149	ENSG00000173698
HGNC:13728	222487	ENSG00000182885
HGNC:18992	139378	ENSG00000156920
HGNC:19010	221188	ENSG00000159618
HGNC:13841	57211	ENSG00000112414
HGNC:19241	84873	ENSG00000144820
HGNC:20973	22859	ENSG00000072071
HGNC:18582	23266	ENSG00000117114
HGNC:20974	23284	ENSG00000150471
HGNC:50604	101927186	ENSG00000248692
HGNC:20822	64123	ENSG00000162618
HGNC:17416	84059	ENSG00000164199
HGNC:249	124	ENSG00000187758
HGNC:250	125	ENSG00000196616
HGNC:251	126	ENSG00000248144
HGNC:252	127	ENSG00000198099
HGNC:253	128	ENSG00000197894
HGNC:22976	343296	ENSG00000232676
HGNC:22991	100131810	ENSG00000223694
HGNC:21377	642443	ENSG00000233859
HGNC:54523	115945146	ENSG00000234865
HGNC:255	130	ENSG00000172955
HGNC:256	131	ENSG00000196344
HGNC:16354	137872	ENSG00000147576
HGNC:30576	55256	ENSG00000182551
HGNC:52339	100130936	ENSG00000235102
HGNC:52340	100288971	ENSG00000250684
HGNC:52341	100288129	ENSG00000258369
HGNC:28606	149685	ENSG00000182035
HGNC:13633	9370	ENSG00000181092
HGNC:40648	100874095	ENSG00000226482
HGNC:24040	51094	ENSG00000159346
HGNC:44910	645220	ENSG00000232497
HGNC:44911	390503	ENSG00000258805
HGNC:24041	79602	ENSG00000006831
HGNC:24043	10974	ENSG00000148671
HGNC:45127	100133190	ENSG00000272734
HGNC:257	132	ENSG00000156110
HGNC:259	133	ENSG00000148926
HGNC:28898	79924	ENSG00000128165
HGNC:27293	199800	ENSG00000224420
HGNC:15766	23394	ENSG00000101126
HGNC:51227	101927631	ENSG00000259456
HGNC:23803	22850	ENSG00000101544
HGNC:23506	84890	ENSG00000181915
HGNC:262	134	ENSG00000163485
HGNC:263	135	ENSG00000128271
HGNC:37122	646023	ENSG00000178803
HGNC:264	136	ENSG00000170425
HGNC:265	137	ENSG00000236136
HGNC:268	140	ENSG00000282608
HGNC:25250	83440	ENSG00000159322
HGNC:44144	100287559	ENSG00000260898
HGNC:269	141	ENSG00000144843
HGNC:21303	113622	ENSG00000153531
HGNC:30925	56985	ENSG00000170222
HGNC:21304	54936	ENSG00000116863
HGNC:277	148	ENSG00000120907
HGNC:278	147	ENSG00000170214
HGNC:280	146	ENSG00000171873
HGNC:281	150	ENSG00000150594
HGNC:282	151	ENSG00000274286
HGNC:283	152	ENSG00000184160
HGNC:285	153	ENSG00000043591
HGNC:286	154	ENSG00000169252
HGNC:288	155	ENSG00000188778
HGNC:15759	11047	ENSG00000130706
HGNC:291	158	ENSG00000239900
HGNC:20093	122622	ENSG00000185100
HGNC:292	159	ENSG00000035687
HGNC:21214	84830	ENSG00000111863
HGNC:303	165	ENSG00000106624
HGNC:24051	121536	ENSG00000139154
HGNC:25722	64782	ENSG00000181026
HGNC:24017	60312	ENSG00000196526
HGNC:28141	84740	ENSG00000272620
HGNC:26714	134265	ENSG00000157510
HGNC:25901	84632	ENSG00000169129
HGNC:7137	4301	ENSG00000130396
