,num_nodes,num_proteins,density,conductance,cut_ratio
C0027960,19,19,0.12280701754385964,0.9808306709265175,0.0052514283200805435
C0027962,43,43,0.06090808416389812,0.972306143001007,0.004174674792617463
C0028077,83,88,0.02615339406406112,0.9430582213691618,0.001654003552629069
C0028326,17,17,0.23529411764705882,0.9474116680361545,0.0031487246709268665
C0028738,307,317,0.010410678929552277,0.9412047613322111,0.0023998467139298716
C0028754,258,275,0.012336741772991886,0.9487083019814396,0.0027533410419603352
C0028797,12,12,0.13636363636363635,0.9749652294853964,0.0027113792836698384
C0028949,16,19,0.10833333333333334,0.978981406628941,0.0035136483914395803
C0028960,16,16,0.09166666666666666,0.9837278106508875,0.0038589201986908685
C0029089,86,99,0.03036935704514364,0.947255880256593,0.002159213130095434
C0029124,210,225,0.0126680337206653,0.9465281784958646,0.0021954685279742666
C0029172,16,16,0.15833333333333333,0.9437037037037037,0.001848219674109837
C0029191,12,12,0.18181818181818182,0.9721577726218097,0.003241277945385627
C0029401,8,10,0.21428571428571427,0.9835616438356164,0.004164926446702863
C0029408,115,118,0.02623951182303585,0.9619805481874447,0.0035298459342290424
C0029422,72,72,0.0297339593114241,0.9617224880382775,0.0024687766658909316
C0029442,11,11,0.09090909090909091,0.9601593625498008,0.0010168518940448766
C0029443,17,17,0.13970588235294118,0.9869146005509641,0.0078267518706647
C0029453,98,99,0.01830422890805807,0.9681260304084998,0.002513098067410943
C0029454,12,12,0.06060606060606061,0.9890260631001372,0.002788736752533457
C0029456,161,164,0.016149068322981366,0.9597795610557865,0.002881771597175533
C0029463,39,44,0.08502024291497975,0.9796511627906976,0.007228295452108074
C0029464,22,23,0.03463203463203463,0.9824561403508771,0.001891213035861283
C0029882,20,22,0.07368421052631578,0.9674039580908033,0.0019292380554394761
C0029927,38,42,0.029871977240398292,0.9852476290832455,0.003430261140094066
C0030044,12,12,0.09090909090909091,0.9792746113989638,0.0021930842422835926
C0030193,75,79,0.03099099099099099,0.972466784056347,0.003770598640722465
C0030232,41,41,0.11951219512195121,0.9522533495736906,0.0044311890413940395
C0030252,17,18,0.10294117647058823,0.9539473684210527,0.0015839204762685018
C0030297,86,88,0.05225718194254446,0.9569528961009691,0.004598956082460604
C0030305,44,51,0.02959830866807611,0.9702444208289054,0.0019290661460512248
C0030312,35,36,0.047058823529411764,0.9697297297297297,0.002381616153570433
C0030354,25,25,0.12,0.9783458646616542,0.0060430986438788775
C0030554,32,32,0.04435483870967742,0.989423076923077,0.005975609756097561
C0030567,61,63,0.05245901639344262,0.9653929343907715,0.004084633359160987
C0031117,131,134,0.016676453317674693,0.9639319278638557,0.0027041412908480316
C0031149,10,10,0.044444444444444446,0.9967611336032388,0.005713092309834316
C0031256,13,13,0.16666666666666666,0.958664546899841,0.0021530177954240336
C0031511,18,18,0.12418300653594772,0.9696969696969697,0.0031364295257697923
C0031900,11,12,0.09090909090909091,0.9917965545529123,0.005101136680084048
C0032209,13,13,0.0641025641025641,0.9809885931558935,0.0018423833871290239
C0032226,10,10,0.13333333333333333,0.9581881533101045,0.0012762797605235068
C0032273,14,14,0.06593406593406594,0.9798319327731092,0.0019330110543033534
C0032285,88,89,0.029519331243469175,0.9536790325886452,0.002462853416554101
C0032460,151,162,0.007682119205298013,0.9727699530516432,0.0019230852524482521
C0032461,11,12,0.2,0.9780876494023905,0.004143355020548003
C0032580,13,14,0.10256410256410256,0.9925198690977092,0.007580193664486275
C0032617,21,23,0.06190476190476191,0.962536023054755,0.001477039552819642
C0032914,21,25,0.06666666666666667,0.9636363636363636,0.0016406636948984646
C0032927,71,93,0.030181086519114688,0.9703087885985748,0.0032133600261159247
C0033054,10,10,0.13333333333333333,0.9763779527559056,0.0023019445862533065
C0033375,10,10,0.1111111111111111,0.9868938401048493,0.0034946860351789113
C0033578,474,492,0.01367516792892124,0.9080218395632087,0.003028816586083014
C0033687,119,124,0.018943170488534396,0.9667125516205731,0.0030280794097655855
C0033774,56,59,0.026623376623376622,0.963716814159292,0.0018088859654368235
C0033805,10,12,0.24444444444444444,0.9870206489675516,0.007764421961293916
C0033860,54,67,0.03773584905660377,0.9751838235294118,0.003654959428572413
C0033941,17,17,0.11764705882352941,0.988476773496579,0.007496313288546616
C0033975,142,150,0.01678154030566377,0.964152352501867,0.0029717882358357476
C0034012,92,97,0.037505972288580984,0.9575618326800919,0.0035877414192973397
C0034013,27,27,0.05982905982905983,0.9793510324483776,0.003426743045879135
C0034065,21,21,0.12857142857142856,0.953125,0.0024278284865209086
C0034067,23,23,0.09486166007905138,0.961038961038961,0.0023905572986702523
C0034069,80,81,0.036075949367088606,0.9463024022609515,0.0023385482143688597
C0034150,27,27,0.07977207977207977,0.963963963963964,0.002576938294541639
C0034194,38,38,0.06685633001422475,0.9479224376731302,0.0020923981499825126
C0034372,10,10,0.1111111111111111,0.98046875,0.002329790690119274
C0034880,11,11,0.05454545454545454,0.9910581222056631,0.0028058361391694723
C0034885,18,18,0.20261437908496732,0.9763177998472116,0.006592692325549004
C0034935,99,100,0.024737167594310452,0.9625760174645251,0.0029058409615777495
C0035126,85,85,0.050140056022408966,0.9546892798379952,0.004132878933987902
C0035222,40,56,0.03717948717948718,0.9684095860566448,0.0020658084305432913
C0035228,18,18,0.0784313725490196,0.97847533632287,0.0028140169511635224
C0035258,5,12,0.2,0.9754601226993865,0.001475501113585746
C0035304,48,48,0.025709219858156027,0.9764035801464606,0.00232460830350086
C0035305,33,33,0.05113636363636364,0.9762845849802372,0.0031296987717727358
C0035309,53,57,0.026850507982583455,0.9734576757532282,0.0023813033468104224
C0035313,10,11,0.1111111111111111,0.9397590361445783,0.0007239987005151529
C0035334,161,177,0.013664596273291925,0.9472263868065967,0.0018340921679213273
C0035410,15,15,0.08571428571428572,0.9741750358680057,0.00210132144957138
C0035412,15,15,0.1523809523809524,0.9755351681957186,0.003948875065763005
C0035455,14,14,0.02197802197802198,0.9924385633270322,0.0017407046372371537
C0035579,15,17,0.06666666666666667,0.9772727272727273,0.00186302726456844
C0035828,14,14,0.1978021978021978,0.9675090252707581,0.003554353087844245
C0036095,45,46,0.01919191919191919,0.9823173569101907,0.002180695012602785
C0036202,7,10,0.23809523809523808,0.9738219895287958,0.002466025853496851
C0036337,19,21,0.08187134502923976,0.9775641025641025,0.002981266891809336
C0036341,961,1041,0.007555064169268123,0.871062027119522,0.0023790016913258567
C0036349,16,17,0.16666666666666666,0.9784133837021047,0.005260317534004921
C0036421,12,12,0.07575757575757576,0.992603550295858,0.00519068616074882
C0036454,10,12,0.17777777777777778,0.968503937007874,0.0022833805170093284
C0036508,13,13,0.01282051282051282,0.9964726631393298,0.002017338398697478
C0036601,14,14,0.15384615384615385,0.9921765856384465,0.011773794603484062
C0036857,96,99,0.017763157894736842,0.9748369058713886,0.003046223381948651
C0036920,27,27,0.1225071225071225,0.9792119893642737,0.006968743011474084
C0037199,40,40,0.052564102564102565,0.9673306772908367,0.0028210252358600177
C0037221,17,18,0.007352941176470588,0.9940119760479041,0.0009066579277950735
C0037268,37,37,0.02702702702702703,0.9777914867365823,0.0019906058474831708
C0037274,92,94,0.013377926421404682,0.9725691893215773,0.0020108569055793555
